SubjectNumber	Trial	Block	Item	ItemType	ItemOldNew	Accuracy	RT	SDT	ProbeResp	PrimeType	PairType	BoundaryType	StimOrder	EncPos
 16	  1	  1	Matthew_Perry{MATT}.jpg	face	new	  1	2.888	cr	new	na	na	na	na	  0
 16	  2	  1	26688139.jpg	obj	new	  1	1.072	cr	new	na	na	na	na	  0
 16	  3	  1	Elvis_Presley{}.jpg	face	new	  1	1.063	cr	new	na	na	na	na	  0
 16	  4	  1	22516680.jpg	obj	old	  1	0.803	hit	old	P1	P14	NB	O	 11
 16	  5	  1	Michelle_Williams.jpg	face	old	  0	1.417	miss	new	P2	P14	NB	O	 11
 16	  6	  1	Cate_Blanchett.jpg	face	new	  1	1.203	cr	new	na	na	na	na	  0
 16	  7	  1	Audrey_Tatou.jpg	face	old	  1	0.854	hit	old	P1	P14	B	F	  9
 16	  8	  1	22950692.jpg	obj	old	  1	1.379	hit	old	P2	P14	B	F	  9
 16	  9	  1	22857877.jpg	obj	old	  1	0.664	hit	old	P1	P23	NB	O	 13
 16	 10	  1	Eminem{}.jpg	face	old	  1	1.004	hit	old	P2	P23	NB	O	 13
 16	 11	  1	26555712.jpg	obj	new	  1	1.060	cr	new	na	na	na	na	  0
 16	 12	  1	Snoop_Dogg{}.jpg	face	old	  1	1.740	hit	old	P1	P23	NB	F	  7
 16	 13	  1	8024339.jpg	obj	old	  0	1.520	miss	new	P2	P23	NB	F	  7
 16	 14	  1	Meg_Ryan{}.jpg	face	old	  1	0.786	hit	old	P1	P23	NB	F	 14
 16	 15	  1	22932393.jpg	obj	old	  1	0.699	hit	old	P2	P23	NB	F	 14
 16	 16	  1	Martin_Luther_King_JR{}.jpg	face	old	  1	0.855	hit	old	P1	P14	NB	F	  7
 16	 17	  1	16242936.jpg	obj	old	  1	0.672	hit	old	P2	P14	NB	F	  7
 16	 18	  1	8076656.jpg	obj	old	  1	0.587	hit	old	P1	P23	B	O	  6
 16	 19	  1	Annette_Bening{}.jpg	face	old	  0	3.537	miss	new	P2	P23	B	O	  6
 16	 20	  1	23510968.jpg	obj	new	  1	1.969	cr	new	na	na	na	na	  0
 16	 21	  1	Anne_Hathaway.jpg	face	old	  1	1.900	hit	old	P1	P14	B	F	  8
 16	 22	  1	8055907.jpg	obj	old	  0	0.731	miss	new	P2	P14	B	F	  8
 16	 23	  1	Russell_Crowe.jpg	face	old	  1	1.180	hit	old	P1	P14	B	F	  3
 16	 24	  1	22873417.jpg	obj	old	  1	0.866	hit	old	P2	P14	B	F	  3
 16	 25	  1	James_Franco.jpg	face	new	  1	0.784	cr	new	na	na	na	na	  0
 16	 26	  1	Jessica_Biel.jpg	face	new	  0	0.996	fa	old	na	na	na	na	  0
 16	 27	  1	23018972.jpg	obj	old	  1	0.866	hit	old	P1	P23	NB	O	  1
 16	 28	  1	Katie_Couric.jpg	face	old	  1	1.393	hit	old	P2	P23	NB	O	  1
 16	 29	  1	Al_Sharpton{AL}.jpg	face	new	  1	1.209	cr	new	na	na	na	na	  0
 16	 30	  1	9814754.jpg	obj	old	  1	1.147	hit	old	P1	P23	B	O	 15
 16	 31	  1	Gwen_Stefani{GWEN}.jpg	face	old	  1	0.932	hit	old	P2	P23	B	O	 15
 16	 32	  1	26685466.jpg	obj	new	  0	1.274	fa	old	na	na	na	na	  0
 16	 33	  1	23272636.jpg	obj	new	  0	0.730	fa	old	na	na	na	na	  0
 16	 34	  1	23251144.jpg	obj	old	  1	0.966	hit	old	P1	P14	B	O	 15
 16	 35	  1	Bob_Saget{BOB}.jpg	face	old	  1	0.757	hit	old	P2	P14	B	O	 15
 16	 36	  1	26687659.jpg	obj	new	  1	0.820	cr	new	na	na	na	na	  0
 16	 37	  1	Donald_Trump{DONALD}.jpg	face	old	  1	1.968	hit	old	P1	P23	B	F	  8
 16	 38	  1	10048914.jpg	obj	old	  1	0.854	hit	old	P2	P23	B	F	  8
 16	 39	  1	23379016.jpg	obj	new	  1	1.038	cr	new	na	na	na	na	  0
 16	 40	  1	Paris_Hilton{PARIS}.jpg	face	new	  1	1.711	cr	new	na	na	na	na	  0
 16	 41	  1	Ben_Affleck.jpg	face	old	  1	1.723	hit	old	P1	P14	NB	F	 10
 16	 42	  1	22536370.jpg	obj	old	  1	1.083	hit	old	P2	P14	NB	F	 10
 16	 43	  1	John_Lennon{JOHN}.jpg	face	new	  1	1.658	cr	new	na	na	na	na	  0
 16	 44	  1	Jack_Nicholson{JACK}.jpg	face	new	  0	1.165	fa	old	na	na	na	na	  0
 16	 45	  1	David_Bowie.jpg	face	old	  1	0.786	hit	old	P1	P14	B	F	  5
 16	 46	  1	22597420.jpg	obj	old	  1	3.464	hit	old	P2	P14	B	F	  5
 16	 47	  1	22736776.jpg	obj	old	  1	0.813	hit	old	P1	P14	NB	O	  1
 16	 48	  1	Alicia_Keys.jpg	face	old	  1	0.810	hit	old	P2	P14	NB	O	  1
 16	 49	  1	Madonna{}.jpg	face	old	  0	1.793	miss	new	P1	P23	B	F	  3
 16	 50	  1	10048988.jpg	obj	old	  1	1.608	hit	old	P2	P23	B	F	  3
 16	 51	  1	Stephen_Colbert.jpg	face	old	  0	1.118	miss	new	P1	P14	B	F	  4
