subj,task,session,list,word,category,intrusion,rectime
R1004D,catFR1,0,1,SPARROW,Birds,0,6.789
R1004D,catFR1,0,2,GIRAFFE,Zoo,0,7.062
R1004D,catFR1,0,2,BEAR,Zoo,0,17.654
R1004D,catFR1,0,6,CHEESECAKE,Desserts,0,4.894
R1004D,catFR1,0,6,CAKE,Desserts,0,6.017
R1004D,catFR1,0,6,PIE,Desserts,0,8.373
R1004D,catFR1,0,9,SPIDER,Insects,0,15.503
R1004D,catFR1,0,9,COBBLER,Desserts,0,25.928
R1004D,catFR1,0,12,JEANS,Clothing,0,1.645
R1004D,catFR1,0,12,PANTS,X,9,2.346
R1004D,catFR1,0,12,BLOUSE,X,9,3.432
R1004D,catFR1,0,13,CYPRESS,Trees,0,9.899
R1004D,catFR1,0,16,CRAB,OceanAnimals,0,5.098
R1004D,catFR1,0,18,COAT,X,7,12.671
R1004D,catFR1,0,18,DUCKS,X,-1,13.978
R1004D,catFR1,0,18,TIGER,Zoo,0,17.608
R1004D,catFR1,0,19,TURTLE,X,3,27.402
R1004D,catFR1,0,21,LION,X,3,13.282
R1004D,catFR1,0,21,COBRA,X,-1,23.021
R1004D,catFR1,0,25,GLUE,OfficeSupplies,0,10.625
R1004D,catFR1,0,25,GOOD,X,-1,13.739
R1013E,catFR1,0,1,MOPED,Vehicles,0,2.67
R1013E,catFR1,0,1,CHERRY,Fruit,0,4.78
R1013E,catFR1,0,1,BANANA,Fruit,0,5.219
R1013E,catFR1,0,1,GRATER,KitchenTools,0,6.54
R1013E,catFR1,0,1,STRAINER,KitchenTools,0,7.102
R1013E,catFR1,0,1,BUS,Vehicles,0,12.043
R1013E,catFR1,0,1,CORKSCREW,KitchenTools,0,20.726
R1013E,catFR1,0,1,KNIFE,KitchenTools,0,23.353
R1013E,catFR1,0,2,BEETLE,Insects,0,4.234
R1013E,catFR1,0,2,BEE,Insects,0,4.78
R1013E,catFR1,0,2,LADLE,KitchenTools,0,6.454
R1013E,catFR1,0,2,DAFFODIL,Flowers,0,11.552
R1013E,catFR1,0,2,TULIP,Flowers,0,13.131
R1013E,catFR1,0,4,MOUSSE,X,1,24.707
R1013E,catFR1,0,5,ORANGUTAN,Zoo,0,1.589
R1013E,catFR1,0,5,GORILLA,Zoo,0,2.422
R1013E,catFR1,0,6,CAR,Vehicles,0,2.543
R1013E,catFR1,0,6,TRUCK,Vehicles,0,3.001
R1013E,catFR1,0,6,RECLINER,Furniture,0,4.917
R1013E,catFR1,0,6,DESK,Furniture,0,6.342
R1013E,catFR1,0,6,ELM,Trees,0,17.411
R1013E,catFR1,0,7,HAND,BodyParts,0,3.776
R1013E,catFR1,0,7,FOOT,BodyParts,0,4.242
R1013E,catFR1,0,7,DRUM,Instruments,0,4.875
R1013E,catFR1,0,7,BIRCH,Trees,0,13.58
R1013E,catFR1,0,7,WILLOW,Trees,0,13.93
R1013E,catFR1,0,8,MOUNTAIN,Landscapes,0,4.621
R1013E,catFR1,0,8,WOODS,Landscapes,0,5.346
R1013E,catFR1,0,8,HORSE,FarmAnimals,0,17.765
